time,cg_disp,cg_pitch,tip_disp,CS1,CS2,CS3
0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0032044392523364485,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.006408878504672897,8.798420129515375e-11,5.8318407094101814e-08,-4.325140271937381e-08,-0.0,-0.0,-0.0
0.009613317757009346,9.130796145370785e-10,5.351512672417869e-07,-3.2907738470279146e-07,1.6699592813464157e-09,5.6811794587348865e-08,6.583446899695334e-05
0.012817757009345794,4.716104653901743e-09,2.352543889138043e-06,-9.956949699819559e-07,1.399003082471135e-08,4.914049342305707e-07,0.00048227679773183763
0.01602219626168224,1.70177368228687e-08,6.9313202399608906e-06,-1.118209420757738e-06,5.825259878081606e-08,2.1255919224958172e-06,0.0017524198752849334
0.01922663551401869,4.9177408327136454e-08,1.560413082653112e-05,3.001016872145129e-06,1.6941316108151108e-07,6.5009819169452195e-06,0.0046476260259494286
0.02243107476635514,1.213932211305496e-07,2.8299817741435355e-05,1.985047067626337e-05,3.8622088801291923e-07,1.5977687583977754e-05,0.009949344552829103
0.025635514018691588,2.6527231408479956e-07,4.1460732080300236e-05,6.418577363461332e-05,7.09893284826555e-07,3.277673920748851e-05,0.018332427969871685
0.028839953271028035,5.253864807195287e-07,4.565387582407544e-05,0.00015770542087716535,1.0136601253265115e-06,5.6184120202367404e-05,0.030074417215009575
0.03204439252336448,9.605962803722646e-07,2.5014633703387906e-05,0.0003293187523284008,1.0314055802857098e-06,8.195395244178003e-05,0.04439528099896781
0.035248831775700935,1.6465188799281514e-06,-4.012774207879381e-05,0.000614988823527092,4.3173499648430647e-07,0.00010382135671572935,0.06047272182309387
0.03845327102803738,2.6784886518743717e-06,-0.0001696721167395819,0.0010561404851141556,-1.1294324696484642e-06,0.00011471647146314595,0.07783634134921676
0.04165771028037383,4.1728374863462e-06,-0.0003817272496246107,0.0016956526193516498,-4.000232568676685e-06,0.00010818915728341108,0.09643709561462405
0.04486214953271028,6.265148759550959e-06,-0.0006924948221196451,0.002573790342126824,-8.535648902020515e-06,7.875209310685123e-05,0.11620852263241845
0.04806658878504673,9.10719896640839e-06,-0.0011164966172055397,0.0037249460947508025,-1.5091606120976348e-05,2.1932259586797763e-05,0.1368601458881286
0.051271028037383176,1.2865514373440893e-05,-0.0016658653600904825,0.00517338810108273,-2.4017472051132955e-05,-6.603805414414295e-05,0.15802664016268395
0.05447546728971962,1.7721828835360007e-05,-0.0023491904895079603,0.006931040899621283,-3.5650647268507136e-05,-0.00018863060086681227,0.1793376050648172
0.05767990654205607,2.3874095165557206e-05,-0.003170697377551068,0.008999659699786777,-5.031443946262985e-05,-0.00034940230843173703,0.20048689073223042
0.06088434579439252,3.153724751638878e-05,-0.004130083480404432,0.011373706623315608,-6.831897650913043e-05,-0.0005522663105938776,0.2213048524324646
0.06408878504672896,4.0942939137686904e-05,-0.005223274222089716,0.014041456939236852,-8.996490793068081e-05,-0.0008015433566369685,0.2418080232476345
0.06729322429906542,5.23371795577705e-05,-0.006444254595178791,0.01698607298817488,-0.00011554790016968621,-0.0011018050139751036,0.2621880313994976
0.07049766355140187,6.59765712979203e-05,-0.007787421957302937,0.020187267188809904,-0.00014536148435683743,-0.0014576256108720033,0.2827448422038281
0.07370210280373832,8.21253369566639e-05,-0.009249473369003862,0.023622329260915505,-0.00017969756226733549,-0.0018733180293525223,0.3037635805941783
0.07690654205607476,0.0001010538275734553,-0.010830329081447536,0.027267560789705447,-0.00021884461529012966,-0.002352700834934179,0.3253745363958628
0.08011098130841121,0.0001230381601418496,-0.012533004174668431,0.031100894775062955,-0.0002630836207937873,-0.0028989921126766197,0.34748485155042236
0.08331542056074766,0.00014836077022244222,-0.014362600877865438,0.03510313746450843,-0.00031268300450341653,-0.003514864791486305,0.36982589769619956
0.0865198598130841,0.00017731098455628583,-0.016325076721539995,0.03925658380587596,-0.00036789449566954855,-0.0042025915559235965,0.3920794607155781
0.08972429906542057,0.00021018443442352415,-0.018426536861404788,0.04354333797725981,-0.000428950655671175,-0.0049642129969424105,0.414014947303082
0.09292873831775701,0.00024728139185064397,-0.020673255330124027,0.04794436654682564,-0.0004960639936271179,-0.005801685258084476,0.4355789240927355
0.09613317757009346,0.0002889051733338485,-0.023072134778085167,0.0524388163929162,-0.0005694276138434452,-0.006716934255809869,0.4568875277527819
0.0993376168224299,0.0003353610259830642,-0.025631311500476074,0.05700502770427373,-0.0006492166987574289,-0.0077117830311120425,0.4781278342455349
0.10254205607476635,0.0003869553831238745,-0.028360609388097004,0.06162329332809845,-0.0007355893997722772,-0.00878781897947115,0.49944623679804856
0.1057464953271028,0.0004439956778349532,-0.03127154250310869,0.06627789769230022,-0.0008286866578684611,-0.009946270791905333,0.5208880543570997
0.10895093457943925,0.0005067903182825553,-0.034376939668919394,0.07095729910229441,-0.0009286313176875669,-0.011187917758100867,0.5423999961869499
0.11215537383177569,0.0005756480107505414,-0.03769051187204117,0.07565339357814407,-0.0010355266766161279,-0.012513058797147009,0.5638812200168688
0.11535981308411214,0.0006508765598675439,-0.041226483836583776,0.08036045370940366,-0.0011494547541839987,-0.013921555907999166,0.5852495745380717
0.1185642523364486,0.0007327818087569251,-0.0449992853423639,0.08507357658411187,-0.0012704749975013393,-0.015412908274404925,0.6064760076878822
0.12176869158878505,0.000821666813638833,-0.04902336295523867,0.08978811198865222,-0.0013986236683768947,-0.01698631004791712,0.6275710887235257
0.1249731308411215,0.0009178312137330825,-0.053313080971555134,0.09450068645534605,-0.00153391357937844,-0.018640693751370424,0.6485533909825129
