time,cg_disp,cg_pitch,tip_disp
0.0,0.0,0.0,0.0
0.0032044392523364485,0.0,0.0,0.0
0.006408878504672897,8.798420129515375e-11,5.8318407094101814e-08,-4.325140271937381e-08
0.009613317757009346,9.626416857050967e-10,6.188612933049538e-07,-4.612399859713034e-07
0.012817757009345794,5.249018591088532e-09,3.2523272270213325e-06,-2.4513236035807206e-06
0.01602219626168224,1.987434284345868e-08,1.1733313897967043e-05,-9.038776832410668e-06
0.01922663551401869,5.974198540813865e-08,3.3211878621281956e-05,-2.6427888606119503e-05
0.02243107476635514,1.5207986005863193e-07,7.884166347945603e-05,-6.53880468068918e-05
0.025635514018691588,3.402043985964875e-07,0.00016308504008936218,-0.00014218771236857328
0.028839953271028035,6.857274525539447e-07,0.00030148399360857645,-0.0002780957569975828
0.03204439252336448,1.2692142017937086e-06,0.0005078529215436802,-0.0004951490700506621
0.035248831775700935,2.1907287410758256e-06,0.0007925736653777366,-0.0008084017282088788
0.03845327102803738,3.5710817612278063e-06,0.0011626728560821785,-0.0012208546686855572
0.04165771028037383,5.552397619318152e-06,0.0016226981134031696,-0.0017252772827904418
0.04486214953271028,8.296343551248674e-06,0.0021750864926039204,-0.0023086341808625276
0.04806658878504673,1.1981042270048064e-05,0.002820058993231307,-0.0029553990668712555
0.051271028037383176,1.679948399337539e-05,0.0035559040563592366,-0.0036503975287047992
0.05447546728971962,2.296010700412184e-05,0.0043797515723665095,-0.004379315565699689
0.05767990654205607,3.068812291571232e-05,0.005288368605275187,-0.0051257059118091355
0.06088434579439252,4.022670007454414e-05,0.0062787632716456675,-0.005868405581208092
0.06408878504672896,5.183726731164613e-05,0.0073484377685027955,-0.006582244618806138
0.06729322429906542,6.579794706402606e-05,0.00849509908904037,-0.007240209345247187
0.07049766355140187,8.240093285188028e-05,0.009716156077356325,-0.007815436826418491
0.07370210280373832,0.00010195080874815156,0.011008547982468302,-0.00828344750827114
0.07690654205607476,0.0001247642730888143,0.012368931324773425,-0.008622818851842844
0.08011098130841121,0.00015117059199743453,0.01379398092216981,-0.008813013377093861
0.08331542056074766,0.0001815123023805215,0.01528067663304847,-0.008832363278950239
0.0865198598130841,0.00021614547605342392,0.016826405148624195,-0.008658216038380781
0.08972429906542057,0.00025543868026060417,0.018428699576690903,-0.008267932738000444
0.09292873831775701,0.00029977106747069385,0.02008482265518732,-0.007640242810615013
0.09613317757009346,0.00034953101372119035,0.02179158744723588,-0.006757137089342722
0.0993376168224299,0.00040511567472826946,0.023545443662196824,-0.00560459038223836
0.10254205607476635,0.0004669311110842191,0.02534268695494696,-0.004171231979452119
0.1057464953271028,0.0005353928356900353,0.027179739621843467,-0.002446916339593269
0.10895093457943925,0.0006109261613657955,0.02905333467276513,-0.00042260002427522785
0.11215537383177569,0.0006939655766185479,0.030960436617781795,0.001909249747369569
0.11535981308411214,0.0007849534205385507,0.03289804001662347,0.004553871932296832
0.1185642523364486,0.0008843387511306718,0.03486310642249105,0.007512722677260281
0.12176869158878505,0.000992576714323504,0.03685268874694285,0.010782870163507943
0.1249731308411215,0.0011101282980304895,0.03886417609686813,0.01435795794511122
0.12817757009345793,0.0012374604297119521,0.04089560442429127,0.01822929343923445
0.1313820093457944,0.001375045950571805,0.042945848217237924,0.02238638082567502
0.13458644859813085,0.001523362785478503,0.04501448871074867,0.026817245623294475
0.13779088785046728,0.0016828924634121395,0.04710142831112847,0.03150843418225899
0.14099532710280374,0.001854118621741596,0.04920645299426739,0.036444465987715204
0.14419976635514017,0.002037525720128237,0.05132883983381724,0.04160780572162902
0.14740420560747663,0.00223359807750732,0.053467096063432286,0.04697988003757056
0.15060864485981307,0.0024428193342660815,0.05561889388029309,0.05254204569747162
0.15381308411214953,0.0026656720021793765,0.05778110692078376,0.0582760430949738
0.157017523364486,0.0029026366281393627,0.05994980819702618,0.0641642429433615
0.16022196261682242,0.0031541906121143196,0.06212023135273494,0.07018936692016008
0.16342640186915888,0.003420807074773478,0.06428678161473048,0.07633363355637408
0.16663084112149532,0.00370295391760822,0.0664431221891319,0.0825782723297301
0.16983528037383178,0.004001093166350459,0.06858236762753213,0.08890373298148006
0.1730397196261682,0.004315680717053522,0.07069739710298892,0.09528999500993972
0.17624415887850467,0.004647166170542713,0.07278114613545766,0.10171672929869008
0.17944859813084113,0.004995992367352101,0.07482674072157232,0.10816347212209235
0.18265303738317756,0.005362594671966298,0.07682751676939302,0.11460951372896709
0.18585747663551402,0.0057474002463149465,0.07877703989896949,0.12103334375801166
0.18906191588785046,0.006150827409801606,0.08066917012814392,0.12741238185119705
0.19226635514018692,0.006573285164562528,0.08249817193060949,0.1337232348268577
0.19547079439252335,0.007015172969734454,0.08425885718270873,0.13994201860265967
0.1986752336448598,0.00747688058135984,0.08594668887766611,0.14604472401574656
0.20187967289719624,0.007958787688560915,0.08755777360895937,0.15200764345941895
0.2050841121495327,0.008461263370766846,0.08908876553313642,0.15780755724502743
0.20828855140186917,0.00898466552854604,0.09053674667949957,0.16342161930960597
0.2114929906542056,0.009529340334742058,0.09189912106848107,0.16882737554437646
0.21469742990654206,0.01009562182459715,0.093173557066147,0.17400310947674064
0.2179018691588785,0.010683831717595092,0.09435797366662997,0.17892819807537957
0.22110630841121495,0.011294279334205752,0.0954505040985576,0.18358349147250624
0.22431074766355139,0.011927261447855102,0.0964493883030479,0.18795176552160778
0.22751518691588785,0.012583062078433543,0.09735280862235245,0.19201792964897788
0.23071962616822428,0.013261952318652084,0.09815871730489655,0.19576894844812062
