time,cg_disp,cg_pitch,tip_disp,CS1,CS2,CS3
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0032044392523364485,0.0,0.0,0.0,0.0,0.0,0.0
0.006408878504672897,8.798420129515375e-11,5.8318407094101814e-08,-4.325140271937381e-08,0.0,0.0,0.0
0.009613317757009346,9.62645514474155e-10,6.185082534889211e-07,-4.60719151676107e-07,1.1282007490297242e-07,8.736345609211801e-08,2.8421699361136925e-07
0.012817757009345794,5.249157929792391e-09,3.247370798305652e-06,-2.4438888924400158e-06,1.1982283234629918e-06,9.283293051497137e-07,3.0206891377995754e-06
0.01602219626168224,1.9875893550639858e-08,1.1698733265305985e-05,-8.986227327099355e-06,6.308518391910311e-06,4.892198534015995e-06,1.5929024267460108e-05
0.01922663551401869,5.975177956867807e-08,3.3048788918527585e-05,-2.6177802087416677e-05,2.2844141740962104e-05,1.7746302881663742e-05,5.786513971583433e-05
0.02243107476635514,1.5212339733877218e-07,7.824945215681481e-05,-6.447466550091849e-05,6.503318012660635e-05,5.0650189804936347e-05,0.0001655240666337929
0.025635514018691588,3.403562514536387e-07,0.0001613079834846496,-0.00013943765902775315,0.0001555348100572097,0.00012153668605350023,0.000398344998435488
0.028839953271028035,6.861699754452881e-07,0.0002968831713687526,-0.00027096457265206287,0.0003246775616973415,0.00025473729220156416,0.0008379479238779138
0.03204439252336448,1.2703353659374982e-06,0.0004972790937693845,-0.00047875687973498695,0.0006064743338994777,0.0004780724520636016,0.0015791239650596658
0.035248831775700935,2.1932677146430566e-06,0.0007705697105667537,-0.0007743229916268231,0.0010316847220911477,0.0008172036429685753,0.0027100935800269716
0.03845327102803738,3.5763289010916584e-06,0.0011206064329150618,-0.0011558339666617203,0.0016207272361163812,0.0012892769673727266,0.004288112915756177
0.04165771028037383,5.562452591934125e-06,0.0015479776584962574,-0.0016101284157709723,0.002380967917498822,0.0019001377292240283,0.006327540865794706
0.04486214953271028,8.314428015977182e-06,0.002050601641247077,-0.00211755686571867,0.0033092507489264835,0.0026464587805008276,0.00880749308022304
0.04806658878504673,1.201185327478281e-05,0.0026239195067197926,-0.0026558303469508644,0.004395344578534573,0.003518986190798852,0.011684883639119174
0.051271028037383176,1.684956402098118e-05,0.0032614832501158385,-0.003203399970478622,0.005624227480135115,0.00450478551567083,0.014903841715736924
0.05447546728971962,2.303819637210078e-05,0.003955995025032035,-0.0037404365911122605,0.006978746323306972,0.0055896817479519295,0.01840532123944795
0.05767990654205607,3.080545282394463e-05,0.004700301149194949,-0.004246207337995376,0.00844171795006021,0.006759907830324378,0.022132597461724513
0.06088434579439252,4.039718559241764e-05,0.005488125054159263,-0.00469676511055361,0.009996050680774006,0.008001743991557472,0.026028239240674093
0.06408878504672896,5.20775682557288e-05,0.006314401037137782,-0.0050658627748213685,0.01162463602600511,0.009301048865406005,0.030031005659774603
0.06729322429906542,6.61273758726308e-05,0.007175031942271069,-0.0053272663411794464,0.013311343790595192,0.010644117741844029,0.034079012828939374
0.07049766355140187,8.284119906843039e-05,0.008066395882183695,-0.0054568205474947095,0.015041857593201551,0.012018656668929054,0.03811430582569087
0.07370210280373832,0.0001025255975768398,0.00898514133935862,-0.005434650809379633,0.01680397763190634,0.01341433112145962,0.042086024866239274
0.07690654205607476,0.00012549865866046093,0.009928295993672315,-0.005245698837211248,0.018588450463396692,0.014823715690581067,0.045954824192332475
0.08011098130841121,0.00015209028638763742,0.010893446683326565,-0.0048773154884656925,0.020389410032906726,0.01624269289085771,0.04969443188352278
0.08331542056074766,0.00018264274393961575,0.011878877241708182,-0.004316948632310126,0.022203368018623583,0.01766932883643657,0.05328658673660245
0.0865198598130841,0.0002175107657877851,0.012883521316588925,-0.003551982451160934,0.02402819680844661,0.019102762356024133,0.05671608304168019
0.08972429906542057,0.00025706038103003915,0.013906571499647026,-0.002570449237260191,0.025862974864024026,0.020543069523847168,0.05997025705498372
0.09292873831775701,0.0003016668872958895,0.014946952779733838,-0.001362113556293806,0.027707753750100705,0.021991214406542954,0.06303939121453984
0.09613317757009346,0.00035171339889307436,0.01600305089668531,7.990171944201049e-05,0.02956330204104219,0.02344904137355189,0.06591752667755585
0.0993376168224299,0.0004075903377935842,0.01707271816975407,0.0017586659119999274,0.031431534930549704,0.02491984723649164,0.06860535390870794
0.10254205607476635,0.00046969551442176957,0.01815340758061789,0.0036750508909083207,0.03331575264251728,0.02640862243168979,0.07111125273195934
0.1057464953271028,0.0005384346462184918,0.019242386141826738,0.005829429501616975,0.03521998324699791,0.027921310741455114,0.07344794059994027
0.10895093457943925,0.0006142216875858927,0.020336871096719424,0.008222024778944894,0.037148407003961444,0.029464114470044087,0.07562918184016233
0.11215537383177569,0.0006974781968496534,0.02143392824511065,0.010852669867181131,0.03910538176978893,0.031043454236409997,0.077669405640387
0.11535981308411214,0.0007886320119407804,0.022530269298023573,0.01372014491794712,0.04109540490797571,0.03266597881270536,0.07958392111407979
0.1185642523364486,0.0008881161309118294,0.023622201425902975,0.016820779144830298,0.043123134750933115,0.034338684613334385,0.08138977408142985
0.12176869158878505,0.000996368103671601,0.02470576768701235,0.02014792772854462,0.045194038459754345,0.036069603948549155,0.0831087985835753
0.1249731308411215,0.001113829815753188,0.025776999378549714,0.023693021475544317,0.047314870466436995,0.037868226516660414,0.08476923445527026
0.12817757009345793,0.0012409476180992253,0.026832221376688673,0.02744673921405103,0.04949348697033606,0.039745184975707976,0.08640403110416757
0.1313820093457944,0.0013781723318840066,0.027868229989066712,0.031399601139756726,0.05173868189378794,0.04171193706177125,0.08804904569418227
