v_inf,re,im
1.0,-13.36110402650633,-88.71811491185684
1.0,-0.5818826584139225,-88.71616459711203
1.0,-0.5817696649341534,-88.5874613714793
1.0,-0.5815925513608738,-88.3946572641726
1.0,-13.36003367057596,-88.29407646547172
1.0,-7.882090884108407,-88.20391234487182
1.0,-10.523429226098582,-88.19789782988947
1.0,-12.870197217558793,-88.18613068294503
1.0,-0.5813389760047976,-88.13664191535126
1.0,-13.601214736126586,-88.00614648159772
1.0,-13.350188867193992,-87.98167275302859
1.0,-0.5809976341069705,-87.81000250404567
1.0,-380.4129746197241,-87.62266507191175
1.0,-13.389382763256835,-87.50932730194233
1.0,-13.454968279735184,-87.49736046671231
1.0,-13.358498607402938,-87.49513504787531
1.0,-13.31318840584253,-87.49413602848034
1.0,-0.5972967512180266,-87.44660417374821
1.0,-0.5809842603823997,-87.40632290560373
1.0,-13.471440373806772,-87.39678093593572
1.0,-13.615693708677046,-87.31974775901794
1.0,-14.011017614693483,-87.24172700717563
1.0,-860.9370580169589,-87.16009263067863
1.0,-13.217303156714658,-87.06386999635014
1.0,-4.496127670883906,-87.06136371490874
1.0,-7.65127903010313,-87.05877155108008
1.0,-11.529576730117158,-87.05616110903163
1.0,-13.537982951621567,-86.98735427481394
1.0,-0.5798943191795476,-86.91706297389636
1.0,-14.093288607341718,-86.76878377516104
1.0,-13.790217107513405,-86.61120204125929
1.0,-13.637074998118086,-86.54624099401116
1.0,-13.481008166845704,-86.4561405189311
1.0,-13.407495603403461,-86.44369364135838
1.0,-13.340703208602253,-86.42186866664652
1.0,-13.295029576819035,-86.39725530274845
1.0,-13.365642739370497,-86.38037275264432
1.0,-0.5790458597194164,-86.31935684238799
1.0,-13.363950950875585,-85.96749516880057
1.0,-7.880586027552321,-85.92322690660426
1.0,-10.521552083067657,-85.91306421141195
1.0,-12.868959205173395,-85.8916217459994
1.0,-13.356478495056203,-85.6466225851531
1.0,-13.601426640017788,-85.62859640184621
1.0,-0.5778867804686589,-85.58340414574876
1.0,-13.443406328920823,-85.18368234308765
1.0,-13.432665258747098,-85.16918709073988
1.0,-13.375455313459334,-85.16678577640995
1.0,-13.335253582949855,-85.16198108892632
1.0,-13.493684283700814,-85.03852716852816
1.0,-14.1200780971649,-85.00342734858388
1.0,-13.601318394059524,-84.96242871674531
1.0,-4.494031047082893,-84.77952794976781
1.0,-7.649371964472047,-84.77566620448212
1.0,-11.526873805522769,-84.77097915572551
1.0,-1078.6595210351186,-84.76927849149278
1.0,-13.211059444486766,-84.76901504759384
1.0,-0.5762698267548075,-84.66068712100258
1.0,-13.538503089547252,-84.65542009705827
1.0,-13.997462565858985,-84.45394220098152
1.0,-13.781299415137521,-84.29599095706341
1.0,-13.632237665830653,-84.16885252791576
1.0,-13.487715956478615,-84.1163954455122
1.0,-13.41525496510654,-84.10805069997049
1.0,-13.350602673626666,-84.09025172200471
1.0,-13.310172194917977,-84.05968386880603
1.0,-13.373466771618173,-84.04377325006227
1.0,-7.878297918357833,-83.6426163027165
1.0,-13.374942356044645,-83.6395545106932
1.0,-10.51878013703622,-83.628092239903
1.0,-12.869587289754202,-83.59651365448124
1.0,-0.5739796015519851,-83.47239368501295
1.0,-13.372626422965292,-83.31378779111128
1.0,-13.603335185285127,-83.26819575901804
1.0,-760.0061052897868,-83.23104287962877
1.0,-13.446613805144011,-82.88470831317264
1.0,-13.39885567330691,-82.8388144842129
1.0,-13.363172010968794,-82.83651632586185
1.0,-13.461705097976548,-82.81813885555917
1.0,-14.168848535547161,-82.79032859200535
1.0,-13.52166503411998,-82.68883324424479
1.0,-13.605541422232937,-82.59944356757245
1.0,-4.4908463666930265,-82.49744402299872
