v_inf,re,im
5.0,-5424.697740680871,-443.09801315849256
5.0,-2.942661647788755,-442.3756104917075
5.0,-66.7726230745727,-441.40530418486935
5.0,-39.41072751572613,-441.0201130962473
5.0,-52.60155481918858,-440.9970289794153
5.0,-64.40665551661593,-440.93409388028493
5.0,-68.18808421722552,-440.14057666418154
5.0,-66.72481986986892,-439.85899748661507
5.0,-66.92286042185243,-437.6323744578137
5.0,-66.63351728166054,-437.52139699409
5.0,-67.20018504526628,-437.4669355307403
5.0,-66.7758305239361,-437.4385795104381
5.0,-67.34692523256756,-436.9693222437853
5.0,-68.05455534840003,-436.61021370328274
5.0,-69.2172272679167,-436.5681499837362
5.0,-2.9728509229397484,-436.1633061230281
5.0,-57.513407862706245,-435.3615027600847
5.0,-22.48060764975211,-435.3090029384439
5.0,-38.25721774019432,-435.2938465802068
5.0,-66.00258005265748,-435.2055905992664
5.0,-67.85368123217738,-434.982853389091
5.0,-70.24172501342083,-433.7973343622226
5.0,-68.60672328026737,-432.8825467559832
5.0,-68.67119011188846,-432.2501046345332
5.0,-67.32893126798888,-432.22697554934257
5.0,-67.08719760008192,-432.19800953510287
5.0,-66.65939096485616,-432.11269990954713
5.0,-66.53081469741578,-432.00299302850794
5.0,-66.82854776635925,-431.8969370829478
5.0,-4463.129823830204,-431.5872386405503
5.0,-66.84068269643197,-429.7754909615008
5.0,-39.40452578149932,-429.61663093525
5.0,-52.59316581274584,-429.57818135342075
5.0,-64.40938420408396,-429.47168265261314
5.0,-5267.268528579639,-429.27819901357645
5.0,-68.11230906028237,-428.2805983090145
5.0,-66.77768212818975,-428.1862177294407
5.0,-5068.280751406796,-427.7446057038771
5.0,-67.01408663682197,-425.9920226523554
5.0,-66.74705444850906,-425.89126250466495
5.0,-67.2396072385284,-425.79989213589704
5.0,-66.86877237655082,-425.79941250463133
5.0,-3.0530132903303406,-425.44900131831486
5.0,-67.4442551560658,-425.195549454383
5.0,-68.01097927102965,-424.8337094868859
5.0,-69.65054652253387,-424.7330563550985
5.0,-57.495229080230715,-423.9792912057321
5.0,-22.471811059464834,-423.90069512956126
5.0,-38.24805614587661,-423.87811755964765
5.0,-65.99047439977734,-423.7329020023031
5.0,-67.8133400218286,-423.4062055917065
5.0,-1064.586796231428,-422.5791714790713
5.0,-69.94956420978221,-422.24056933884077
5.0,-68.71516835668857,-421.1673581636719
5.0,-4276.768069086973,-420.63074755306434
5.0,-68.68888542141595,-420.58185903251234
5.0,-67.10604580290554,-420.5616607216641
5.0,-67.3843639002524,-420.50451707048427
5.0,-66.71735029526646,-420.44620740432003
5.0,-5186.643399950332,-420.42463514871207
5.0,-66.58558907392411,-420.31315539413123
5.0,-66.8717975988957,-420.21161203887124
5.0,-39.39519316555822,-418.21285600193266
