v_inf,re,im
5.0,-56.485005784783354,-452.3901424603541
5.0,-69.54006235714014,-452.3737733526212
5.0,-67.94130538527072,-452.1561614297151
5.0,-2.9190195497318747,-452.106152420698
5.0,-47.69056036421137,-451.959405402852
5.0,-66.83167123685226,-451.5638919504575
5.0,-2.920757150510657,-450.7596063210421
5.0,-67.70206353608226,-450.06307813619804
5.0,-66.8286484726599,-449.2998767989801
5.0,-66.55546429660676,-449.17285610941616
5.0,-66.6851164789031,-449.0886285718702
5.0,-67.11752004441962,-449.0156730351256
5.0,-2.9238798244777326,-448.91480587299725
5.0,-67.46878895326135,-448.78785329861444
5.0,-68.31694934541011,-448.3694519174234
5.0,-5207.399113256153,-448.10438760075436
5.0,-44.38545973316192,-447.68473396903
5.0,-36.65257287370211,-446.8319341173471
5.0,-22.677286272521886,-446.6926662913186
5.0,-67.56345866337328,-446.5264576754236
5.0,-69.27574696216962,-446.36085927630967
5.0,-2.9299835969117485,-446.2904578623825
5.0,-68.60303112246453,-444.5172717266202
5.0,-67.4507864014385,-443.93682575863346
5.0,-67.05954075548601,-443.89369991014286
5.0,-66.62391669342591,-443.77808302343266
5.0,-66.49467590481773,-443.7046618646687
5.0,-66.81237878255627,-443.6115541805726
5.0,-5038.48295341145,-443.4033379073826
5.0,-67.60804365746631,-442.880009701745
5.0,-4232.023182833116,-442.83252293307885
5.0,-2.9428023902530103,-442.3755726098059
5.0,-1200.1185440697402,-441.7883953765237
5.0,-66.92120237267203,-441.47289346584114
5.0,-62.57510390481942,-441.0656153220326
5.0,-56.48882798401831,-440.92058678906795
5.0,-69.52120616344361,-440.7947683596357
5.0,-67.94270452378154,-440.2629382064241
5.0,-66.80847750147406,-439.90643755728496
5.0,-48.13980554839714,-439.8308836298294
5.0,-67.82574269851796,-438.451206205432
5.0,-66.86522297771786,-437.6537014776497
5.0,-66.63735333567027,-437.5082556189713
5.0,-66.76972945059845,-437.4086303231225
5.0,-67.19366378716379,-437.34928644398684
5.0,-43.82379174644193,-437.0206726974849
5.0,-67.53876317591596,-437.0037148593057
5.0,-68.1965714401045,-436.62351665396517
5.0,-2.9720664982073757,-436.1636946325211
5.0,-5191.963768276069,-435.758046366167
5.0,-36.65495335200374,-435.5392399250151
5.0,-22.667643904474872,-435.2604204835465
5.0,-67.55914680625715,-434.935930049223
5.0,-69.24300015362603,-434.63577261943686
5.0,-68.72983029972356,-432.8728354542002
5.0,-67.07827685811068,-432.2453364445924
5.0,-67.4629325943195,-432.20118346456235
5.0,-66.6494735189719,-432.08933523653974
5.0,-66.51356694035924,-432.0141998609465
5.0,-66.84354209435604,-431.9337929461525
5.0,-67.63919780606008,-431.24310739703526
5.0,-66.9556830296327,-429.89041053734053
5.0,-62.56172594712437,-429.69392183576605
5.0,-56.496425498297725,-429.45188633520604
5.0,-69.55463135811246,-429.05760748341953
5.0,-67.93118501576392,-428.44966803547356
5.0,-66.8355240521385,-428.2245400147756
5.0,-48.69261535178233,-428.08811386130384
5.0,-67.96805731176748,-426.89781770254416
5.0,-66.90546120592592,-426.0179695094993
5.0,-43.182184885405285,-425.98401664085105
5.0,-66.74984651570934,-425.8712651721011
5.0,-66.88505022861042,-425.7514498035669
5.0,-67.29096280259614,-425.696070063179
5.0,-3.05660940039199,-425.4480578653779
5.0,-67.65064535317158,-425.2480138156021
5.0,-4473.538335598223,-425.14491574920555
5.0,-68.12969729288557,-424.8395050466933
5.0,-36.659041010172366,-424.24746029961244
5.0,-22.6516215604818,-423.82851077015465
5.0,-4091.522997710892,-423.7925849627117
5.0,-67.53552727866854,-423.34657378384424
5.0,-69.17165028870546,-422.95433942248735
5.0,-68.85001472754577,-421.22768510391217
5.0,-5089.275562083165,-421.03035224467726
5.0,-67.11356134062531,-420.6237453858694
5.0,-67.48346004079035,-420.45715560051855
5.0,-66.7135510431977,-420.4124204849634
5.0,-66.56278111641862,-420.3249850582382
5.0,-66.89804494398666,-420.25642528473577
5.0,-67.70025617991678,-419.6431223512795
5.0,-4344.979382242293,-418.8147820785568
5.0,-5125.44731129128,-418.32882659251754
5.0,-62.54023339355516,-418.3218438317588
5.0,-66.9865798167968,-418.2986248352023
5.0,-56.507768570826634,-417.98454802317985
5.0,-69.73470891645628,-417.2139781555773
5.0,-67.89976055577108,-416.6866723819055
5.0,-49.14341236361907,-416.56274845339516
5.0,-66.92335073473522,-416.5487080345232
5.0,-68.08686701929656,-415.4019764821194
5.0,-42.64177807685078,-414.73980508613806
5.0,-66.93670532210241,-414.37598983440347
5.0,-66.89528403102554,-414.27880298495734
5.0,-67.01714802618638,-414.12534067148135
5.0,-67.39819441024265,-414.0563316736167
5.0,-67.75534944508712,-413.5308914396107
5.0,-68.1485203423582,-413.05347005451745
5.0,-36.66495984032006,-412.95719353231664
5.0,-22.629257198950576,-412.39713005138356
5.0,-67.49096086084245,-411.7385135884109
5.0,-69.0698119681507,-411.2993646999823
5.0,-4080.012404374855,-411.27518227898037
5.0,-1456.2039193737025,-411.1145373671636
5.0,-68.98431112569887,-409.58511128241565
5.0,-67.15339584489824,-409.0185839086173
5.0,-66.81286664334857,-408.75682754136125
5.0,-67.53306141432265,-408.6953656074524
5.0,-5296.578149109425,-408.6558946482042
5.0,-66.64739739475208,-408.6396662126373
5.0,-66.97882576929328,-408.5786874940483
5.0,-67.76993975689119,-408.0818839921398
5.0,-3125.121142019403,-407.7496299519879
5.0,-62.511662701021386,-406.94829386429944
5.0,-67.03573159187442,-406.69557304376
5.0,-56.52289909169638,-406.51907430837787
