v_inf,re,im
102.0,-195.12097428275146,-139.48316956083988
102.0,0.7166620219653889,-83.10297222251594
102.0,-64.1404942823259,-71.97073330810557
102.0,-99.50385246150216,-71.22276039540124
102.0,-139.95006461636288,-69.85410115855984
102.0,-3889.688606624536,-68.08825673685554
102.0,-186.0712674085749,-67.58931971106128
102.0,-6.601415901017555,-47.49320254927993
102.0,-3828.441038032608,-40.271077692468715
102.0,-115.51691790199234,0.0
102.0,-4154.916087229145,0.0
102.0,-73.05688465887191,0.0
102.0,-159.73036679200308,0.0
102.0,-3605.077405354257,0.0
102.0,-33.86687285680971,0.0
102.0,-3828.441038032608,40.271077692468715
102.0,-6.601415901017555,47.49320254927993
102.0,-186.0712674085749,67.58931971106128
102.0,-3889.688606624536,68.08825673685554
102.0,-139.95006461636288,69.85410115855984
102.0,-99.50385246150216,71.22276039540124
102.0,-64.1404942823259,71.97073330810557
102.0,0.7166620219653889,83.10297222251594
102.0,-195.12097428275146,139.48316956083988
102.0,-148.51571808659597,140.97315930624995
102.0,-108.1017122668217,142.03896918419517
102.0,-73.22887192335587,142.30318089184004
102.0,-4.105325276724165,188.98213378297717
102.0,-3745.2645699344653,206.2912938589635
102.0,-199.821553479044,210.18571045786325
102.0,-153.0815575104683,211.13986883024853
102.0,-112.52575304784403,211.84525469171038
102.0,-77.60272279747967,212.02314095909082
102.0,-1.6548091431487097,224.6362866890453
102.0,-1.6429027489645385,257.43726510115783
102.0,-3900.4821520073465,274.7555489679499
102.0,-202.2570580919034,280.39855195450457
102.0,-155.45118878757543,280.88112729896073
102.0,-114.78246381945283,281.23596012367733
102.0,-79.87052338698858,281.3186673191531
102.0,-1.1130702477455594,282.4210743395207
102.0,-1.2037082287722283,300.1802101364845
102.0,-1.1084837725340744,324.0398750316913
102.0,-1.0986431658658644,335.0022130487501
102.0,-1.1022094281605306,340.8204862929007
102.0,-1.1091293262665711,344.3575441548975
102.0,-1.1123798630311377,346.73150171610706
102.0,-3646.5608247471373,350.4401254004363
102.0,-3734.137147299766,350.4401254004363
102.0,-115.478034584678,350.4401254004363
102.0,-695.5900752321535,350.4401254004363
102.0,-530.3130412891702,350.4401254004363
102.0,-392.9529714289029,350.4401254004363
102.0,-203.02465720025606,350.4401254004363
102.0,-156.1919959274154,350.4401254004363
102.0,-80.56120854215031,350.4401254004363
102.0,-961.0322666088932,350.4401254004363
102.0,-inf,
102.0,-inf,
102.0,-inf,
102.0,-inf,
103.0,-1.1232235963911799,-350.09412204165244
103.0,-1.1198766432640577,-347.67341304544925
103.0,-1.1127518805876606,-344.0667557490144
103.0,-1.1090813534108834,-338.1342196939866
103.0,-1.1192091406385825,-326.9577908332534
103.0,-3962.7953332260245,-306.58310772113344
103.0,-1.21696308444065,-302.64129924471433
103.0,-3887.877005521226,-291.01437574881874
103.0,-1.1238687684445474,-284.5577330394509
103.0,-80.65350495935944,-284.0771941937326
103.0,-115.90756890804033,-283.99362712127856
103.0,-156.97405849924067,-283.6358016260152
103.0,-204.23935578245857,-283.1478158446193
103.0,-1.666630969306917,-259.1410056075262
103.0,-1.6698111655571848,-225.82364968673815
103.0,-78.36391854023834,-214.10410982738927
103.0,-113.62867160312707,-213.92323968996357
103.0,-154.58111736350682,-213.21167716472812
103.0,-201.77998298733388,-212.24680562498622
103.0,-4.173781226573555,-189.7352005655647
103.0,-3773.009829133369,-158.26633967909433
103.0,-73.94412183616116,-143.6980211684679
103.0,-109.16105197364817,-143.43203748420856
103.0,-149.9705558614114,-142.35735297962717
103.0,-197.0334351868798,-140.85110798560302
103.0,0.764095200673621,-83.044406078574
103.0,-64.7767870851944,-72.67832023051477
103.0,-100.48098198128639,-71.9219393379021
103.0,-141.32169286135894,-70.54078053789567
103.0,-187.89533579924498,-68.25239049258043
103.0,-4009.031931125403,-65.62046392223206
103.0,-6.695294518341119,-47.539762122486295
103.0,-73.77219469222608,0.0
103.0,-161.29685650680483,0.0
103.0,-3578.633769561075,0.0
103.0,-34.17077536227681,0.0
103.0,-116.65089942376682,0.0
103.0,-3729.7361849393073,0.0
103.0,-6.695294518341119,47.539762122486295
103.0,-4009.031931125403,65.62046392223206
103.0,-187.89533579924498,68.25239049258043
103.0,-141.32169286135894,70.54078053789567
103.0,-100.48098198128639,71.9219393379021
103.0,-64.7767870851944,72.67832023051477
103.0,0.764095200673621,83.044406078574
103.0,-197.0334351868798,140.85110798560302
103.0,-149.9705558614114,142.35735297962717
103.0,-109.16105197364817,143.43203748420856
103.0,-73.94412183616116,143.6980211684679
103.0,-3773.009829133369,158.26633967909433
103.0,-4.173781226573555,189.7352005655647
103.0,-201.77998298733388,212.24680562498622
103.0,-154.58111736350682,213.21167716472812
103.0,-113.62867160312707,213.92323968996357
103.0,-78.36391854023834,214.10410982738927
103.0,-1.6698111655571848,225.82364968673815
103.0,-1.666630969306917,259.1410056075262
103.0,-204.23935578245857,283.1478158446193
103.0,-156.97405849924067,283.6358016260152
103.0,-115.90756890804033,283.99362712127856
103.0,-80.65350495935944,284.0771941937326
103.0,-1.1238687684445474,284.5577330394509
103.0,-3887.877005521226,291.01437574881874
103.0,-1.21696308444065,302.64129924471433
103.0,-3962.7953332260245,306.58310772113344
103.0,-1.1192091406385825,326.9577908332534
103.0,-1.1090813534108834,338.1342196939866
103.0,-1.1127518805876606,344.0667557490144
103.0,-1.1198766432640577,347.67341304544925
103.0,-1.1232235963911799,350.09412204165244
103.0,-3826.743909113682,353.87581290436214
103.0,-3686.5982990994357,353.87581290436214
103.0,-81.3507282935225,353.87581290436214
103.0,-700.5510315555036,353.87581290436214
103.0,-533.9922567180382,353.87581290436214
103.0,-396.44146404897805,353.87581290436214
103.0,-205.0144904685915,353.87581290436214
103.0,-157.72212212267522,353.87581290436214
103.0,-116.60989294921228,353.87581290436214
103.0,-968.5180364868329,353.87581290436214
103.0,-inf,
103.0,-inf,
103.0,-inf,
103.0,-inf,
104.0,-1.1340655176413674,-353.45602980663364
104.0,-1.1306202639942162,-350.9881142409137
104.0,-1.1232866525268808,-347.3111821952536
104.0,-1.1195098972766409,-341.2632834239163
104.0,-1.1299302490202303,-329.8707492208864
104.0,-3873.3057961360164,-315.72265004464714
104.0,-1.2302495245642329,-305.0934799933395
104.0,-81.43648668310416,-286.8357223227122
104.0,-117.0326762031774,-286.75129733406396
104.0,-1.134661841467382,-286.68324464376457
104.0,-158.49692549161105,-286.39048831639684
104.0,-206.22164632914635,-285.8970882473992
104.0,-1.690495282911759,-260.8314143016118
104.0,-1.6845289990842496,-226.99672829777316
104.0,-79.12518746247804,-216.18507405024977
104.0,-114.73160472759609,-216.0012419417809
104.0,-156.0806769951059,-215.283517793439
104.0,-203.73840902977386,-214.30791553768407
104.0,-4.242472761614043,-190.47636483256696
104.0,-4012.426641057032,-189.0304371173383
104.0,-3734.7002385230426,-187.67749735276388
104.0,-74.65931975266025,-145.09299344953155
104.0,-110.22037108850301,-144.82515039681252
104.0,-151.4253863017013,-143.74159308968612
104.0,-198.94589295729432,-142.21906350932997
104.0,0.8125564495042016,-82.98199888323781
104.0,-65.41308387919358,-73.38576960710485
104.0,-101.45809004428753,-72.62111206971281
104.0,-142.69331893874545,-71.22750128621779
104.0,-189.71940350680316,-68.91547568242063
104.0,-6.790588637957705,-47.586448153010124
104.0,-3789.2199041722583,-19.217355053512033
104.0,-3889.513612906159,-13.887872266306664
104.0,-74.48745661232142,0.0
104.0,-34.47381946632393,0.0
104.0,-162.86335951286205,0.0
104.0,-117.78491385461965,0.0
104.0,-3889.513612906159,13.887872266306664
104.0,-3789.2199041722583,19.217355053512033
104.0,-6.790588637957705,47.586448153010124
104.0,-189.71940350680316,68.91547568242063
104.0,-142.69331893874545,71.22750128621779
104.0,-101.45809004428753,72.62111206971281
104.0,-65.41308387919358,73.38576960710485
104.0,0.8125564495042016,82.98199888323781
104.0,-198.94589295729432,142.21906350932997
104.0,-151.4253863017013,143.74159308968612
104.0,-110.22037108850301,144.82515039681252
104.0,-74.65931975266025,145.09299344953155
104.0,-3734.7002385230426,187.67749735276388
104.0,-4012.426641057032,189.0304371173383
104.0,-4.242472761614043,190.47636483256696
104.0,-203.73840902977386,214.30791553768407
104.0,-156.0806769951059,215.283517793439
104.0,-114.73160472759609,216.0012419417809
104.0,-79.12518746247804,216.18507405024977
104.0,-1.6845289990842496,226.99672829777316
104.0,-1.690495282911759,260.8314143016118
104.0,-206.22164632914635,285.8970882473992
104.0,-158.49692549161105,286.39048831639684
104.0,-1.134661841467382,286.68324464376457
104.0,-117.0326762031774,286.75129733406396
104.0,-81.43648668310416,286.8357223227122
104.0,-1.2302495245642329,305.0934799933395
104.0,-3873.3057961360164,315.72265004464714
104.0,-1.1299302490202303,329.8707492208864
104.0,-1.1195098972766409,341.2632834239163
104.0,-1.1232866525268808,347.3111821952536
104.0,-1.1306202639942162,350.9881142409137
104.0,-1.1340655176413674,353.45602980663364
104.0,-975.9864405182979,357.3115004082879
104.0,-4147.514599529042,357.3115004082879
104.0,-537.6642742049189,357.3115004082879
104.0,-399.9318511875884,357.3115004082879
104.0,-207.00431415124277,357.3115004082879
104.0,-159.2522434394543,357.3115004082879
104.0,-117.74175182044826,357.3115004082879
104.0,-82.14024654153118,357.3115004082879
104.0,-3966.233371315716,357.3115004082879
104.0,-705.498805755808,357.3115004082879
104.0,-inf,
104.0,-inf,
104.0,-inf,
104.0,-inf,
105.0,-1.1449056092521286,-356.817225020044
105.0,-1.1413601529046946,-354.30164777990177
105.0,-1.1338136713333224,-350.55376578154164
105.0,-1.1299287085338807,-344.3894048122986
105.0,-1.1406470549698289,-332.7787529155717
105.0,-3942.744656871871,-308.9320406917499
105.0,-1.2435673788843091,-307.5367689301035
105.0,-82.21946846391415,-289.59425175729547
105.0,-118.15778570614644,-289.5089706711583
105.0,-160.01979007910234,-289.14518710438506
105.0,-1.1454493342292382,-288.7976486939414
105.0,-208.2039300778968,-288.6463690404946
105.0,-1.7144940400252016,-262.50857529361014
105.0,-3919.432957779667,-244.03997893604762
105.0,-1.6989562536438307,-228.1556774938484
105.0,-79.88652729635571,-218.26603027412744
105.0,-115.83455258767772,-218.0792605221802
105.0,-157.5802370276393,-217.35539021194742
105.0,-205.69683183000055,-216.36903999719402
105.0,-4.311392942094188,-191.205829740768
105.0,-75.37446953222786,-146.48809877376115
105.0,-111.2796712013904,-146.2183081561085
105.0,-152.88021014931653,-145.12587947090523
105.0,-200.85834776724118,-143.58703601119458
105.0,-4035.4088099240994,-95.0906232526331
105.0,0.8620705427039428,-82.91582187463521
105.0,-66.04937894286454,-74.09308398246732
105.0,-102.43517637254818,-73.32027948545823
105.0,-144.06494315416785,-71.91426336069074
105.0,-191.54347061116653,-69.57857528860467
105.0,-6.88733663946718,-47.63326397360239
105.0,-3804.658202002054,0.0
105.0,-164.42987589299864,0.0
105.0,-3938.2378542524116,0.0
105.0,-4054.941294094659,0.0
105.0,-75.20267034836971,0.0
105.0,-34.7759941330367,0.0
105.0,-118.91896125858662,0.0
105.0,-6.88733663946718,47.63326397360239
105.0,-191.54347061116653,69.57857528860467
105.0,-144.06494315416785,71.91426336069074
105.0,-102.43517637254818,73.32027948545823
105.0,-66.04937894286454,74.09308398246732
105.0,0.8620705427039428,82.91582187463521
105.0,-4035.4088099240994,95.0906232526331
105.0,-200.85834776724118,143.58703601119458
105.0,-152.88021014931653,145.12587947090523
105.0,-111.2796712013904,146.2183081561085
105.0,-75.37446953222786,146.48809877376115
105.0,-4.311392942094188,191.205829740768
105.0,-205.69683183000055,216.36903999719402
105.0,-157.5802370276393,217.35539021194742
105.0,-115.83455258767772,218.0792605221802
105.0,-79.88652729635571,218.26603027412744
105.0,-1.6989562536438307,228.1556774938484
105.0,-3919.432957779667,244.03997893604762
105.0,-1.7144940400252016,262.50857529361014
105.0,-208.2039300778968,288.6463690404946
105.0,-1.1454493342292382,288.7976486939414
105.0,-160.01979007910234,289.14518710438506
105.0,-118.15778570614644,289.5089706711583
105.0,-82.21946846391415,289.59425175729547
105.0,-1.2435673788843091,307.5367689301035
105.0,-3942.744656871871,308.9320406917499
105.0,-1.1406470549698289,332.7787529155717
105.0,-1.1299287085338807,344.3894048122986
105.0,-1.1338136713333224,350.55376578154164
105.0,-1.1413601529046946,354.30164777990177
105.0,-1.1449056092521286,356.817225020044
105.0,-4093.6562192712913,360.74718791221375
105.0,-3744.89387326731,360.74718791221375
105.0,-3646.373059320872,360.74718791221375
105.0,-82.92976332755191,360.74718791221375
105.0,-710.4336203073833,360.74718791221375
105.0,-541.3293310088899,360.74718791221375
105.0,-403.42408862869814,360.74718791221375
105.0,-208.99412867587583,360.74718791221375
105.0,-160.78236014450363,360.74718791221375
105.0,-118.87361124743917,360.74718791221375
105.0,-983.4377182546291,360.74718791221375
105.0,-inf,
105.0,-inf,
105.0,-inf,
105.0,-inf,
106.0,-1.1557438536942972,-360.17770769061946
106.0,-1.1520962743463738,-357.6140136957428
106.0,-1.1443328633064649,-353.7945066422255
106.0,-1.1403376983976048,-347.5125844383775
106.0,-1.1513595063939535,-335.6818045816799
106.0,-3941.984633675636,-315.2122366849214
106.0,-1.2569164588663513,-309.9711826857436
106.0,-83.00245021682265,-292.35278254895326
106.0,-119.28289741775777,-292.26664704665194
106.0,-161.54265255931895,-291.89989772356233
106.0,-210.18620723467396,-291.3956580106793
106.0,-1.1562311195603714,-290.9009849225841
106.0,-4088.506749836112,-289.3027018843151
106.0,-1.7386255646189082,-264.172572717748
106.0,-1.7130867251745148,-229.30065131913383
106.0,-80.64793565037219,-220.34697536971282
106.0,-116.93751530383355,-220.1572945276774
106.0,-159.07979805903332,-219.42729390345588
106.0,-207.6552515704289,-218.43017869291927
106.0,-4.380534960350172,-191.92379509980537
106.0,-76.08957506856738,-147.88333812760987
106.0,-112.33895388630653,-147.61151093863242
106.0,-154.33502814063095,-146.5102119346462
106.0,-202.7707998071701,-144.95502531345866
106.0,-3914.4728764962438,-113.56346119268717
106.0,-4063.203364754005,-87.47172812203877
106.0,0.9126635440418965,-82.8459438550795
106.0,-66.68566678116068,-74.8002660739646
106.0,-103.4122407248509,-74.01944246552392
106.0,-145.43656581348822,-72.60106670959706
106.0,-193.36753720787752,-70.24168930686876
106.0,-6.985577899068354,-47.68021156739035
106.0,-120.05304169523241,0.0
106.0,-4156.1987326365015,0.0
106.0,-75.91783584714881,0.0
106.0,-3724.3231379873946,0.0
106.0,-35.0772881805377,0.0
106.0,-3871.515922988938,0.0
106.0,-165.9964057329883,0.0
106.0,-6.985577899068354,47.68021156739035
106.0,-193.36753720787752,70.24168930686876
106.0,-145.43656581348822,72.60106670959706
106.0,-103.4122407248509,74.01944246552392
106.0,-66.68566678116068,74.8002660739646
106.0,0.9126635440418965,82.8459438550795
106.0,-4063.203364754005,87.47172812203877
106.0,-3914.4728764962438,113.56346119268717
106.0,-202.7707998071701,144.95502531345866
106.0,-154.33502814063095,146.5102119346462
106.0,-112.33895388630653,147.61151093863242
106.0,-76.08957506856738,147.88333812760987
106.0,-4.380534960350172,191.92379509980537
106.0,-207.6552515704289,218.43017869291927
106.0,-159.07979805903332,219.42729390345588
106.0,-116.93751530383355,220.1572945276774
106.0,-80.64793565037219,220.34697536971282
106.0,-1.7130867251745148,229.30065131913383
106.0,-1.7386255646189082,264.172572717748
106.0,-4088.506749836112,289.3027018843151
106.0,-1.1562311195603714,290.9009849225841
